months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_location,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
328,250/500,1000,1406.91,0,MALE,MD,craft-repair,husband,53300,0,1/25/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,9935 4th Drive,1,YES,1,2,YES,71610,6510,13020,52080,Y
228,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,other-relative,0,0,1/21/2015,Vehicle Theft,?,Minor Damage,Police,6608 MLK Hwy,1,?,0,0,?,5070,780,780,3510,Y
134,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,own-child,35100,0,2/22/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7121 Francis Lane,3,NO,2,3,NO,34650,7700,3850,23100,N
256,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,unmarried,48900,-62400,1/10/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,6956 Maple Drive,1,?,1,2,NO,63400,6340,6340,50720,Y
228,500/1000,1000,1583.91,6000000,MALE,Associate,sales,unmarried,66000,-46000,2/17/2015,Vehicle Theft,?,Minor Damage,None,3041 3rd Ave,1,NO,0,1,NO,6500,1300,650,4550,N
256,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,unmarried,0,0,1/2/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,8973 Washington St,3,NO,0,2,NO,64100,6410,6410,51280,Y
137,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,husband,0,-77000,1/13/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Police,5846 Weaver Drive,3,?,0,0,?,78650,21450,7150,50050,N
165,100/300,1000,1137.03,0,MALE,Associate,tech-support,unmarried,0,0,2/27/2015,Multi-vehicle Collision,Front Collision,Total Loss,Police,3525 3rd Hwy,3,?,2,2,YES,51590,9380,9380,32830,N
27,100/300,500,1442.99,0,FEMALE,PhD,other-service,own-child,0,0,1/30/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,4872 Rock Ridge,1,NO,1,1,YES,27700,2770,2770,22160,N
212,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,wife,0,-39300,1/5/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,3066 Francis Ave,1,NO,2,1,?,42300,4700,4700,32900,N
235,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,other-relative,38400,0,1/6/2015,Single Vehicle Collision,Front Collision,Total Loss,Police,1558 1st Ridge,1,YES,2,2,?,87010,7910,15820,63280,N
447,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,other-relative,0,-51000,2/15/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,5971 5th Hwy,3,YES,1,2,YES,114920,17680,17680,79560,N
60,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,wife,0,0,1/22/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,6655 5th Drive,1,YES,1,0,NO,56520,4710,9420,42390,N
121,100/300,1000,936.61,0,FEMALE,MD,armed-forces,wife,52800,-32800,1/8/2015,Parked Car,?,Minor Damage,None,6582 Elm Lane,1,NO,1,1,NO,7280,1120,1120,5040,N
180,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,not-in-family,41300,-55500,1/15/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,6851 3rd Drive,1,NO,0,2,YES,46200,4200,8400,33600,Y
473,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,other-relative,55700,0,1/29/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,9573 Weaver Ave,4,YES,0,0,NO,63120,10520,10520,42080,Y
70,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,own-child,63600,0,2/22/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,5074 3rd St,3,?,1,2,YES,52110,5790,5790,40530,N
